agedays,param,sd.median
761,HEADCM,0.66841996
762,HEADCM,0.66817558
763,HEADCM,0.66793156
764,HEADCM,0.66789997
765,HEADCM,0.66765577
766,HEADCM,0.66741198
767,HEADCM,0.66716862
768,HEADCM,0.66713405
769,HEADCM,0.66689038
770,HEADCM,0.66664714
771,HEADCM,0.66640425
772,HEADCM,0.66636652
773,HEADCM,0.66612321
774,HEADCM,0.66588032
775,HEADCM,0.66563773
776,HEADCM,0.6653955
777,HEADCM,0.66535354
778,HEADCM,0.66511083
779,HEADCM,0.66486841
780,HEADCM,0.6646263
781,HEADCM,0.66438448
782,HEADCM,0.66414291
783,HEADCM,0.66409558
784,HEADCM,0.66385347
785,HEADCM,0.66361153
786,HEADCM,0.66336989
787,HEADCM,0.66331857
788,HEADCM,0.66307622
789,HEADCM,0.66283411
790,HEADCM,0.66259217
791,HEADCM,0.66235048
914,HEADCM,0.63253725
915,HEADCM,0.63228428
916,HEADCM,0.63203108
917,HEADCM,0.6317777
918,HEADCM,0.63152409
919,HEADCM,0.63129318
920,HEADCM,0.63103777
921,HEADCM,0.63078219
922,HEADCM,0.63052636
923,HEADCM,0.63027036
924,HEADCM,0.63003069
925,HEADCM,0.6297729
926,HEADCM,0.62951493
927,HEADCM,0.62925667
928,HEADCM,0.62899822
929,HEADCM,0.62874979
930,HEADCM,0.62848955
931,HEADCM,0.62822908
932,HEADCM,0.62796843
933,HEADCM,0.62770748
934,HEADCM,0.62744629
935,HEADCM,0.62718761
936,HEADCM,0.62692463
937,HEADCM,0.62666148
938,HEADCM,0.62639701
939,HEADCM,0.62613207
940,HEADCM,0.62586683
941,HEADCM,0.62560135
942,HEADCM,0.62533569
943,HEADCM,0.62506974
944,HEADCM,0.6247949
945,HEADCM,0.62452716
946,HEADCM,0.62425917
947,HEADCM,0.62399089
948,HEADCM,0.62372243
949,HEADCM,0.62345368
950,HEADCM,0.62316841
951,HEADCM,0.62289786
952,HEADCM,0.62262702
953,HEADCM,0.62235594
954,HEADCM,0.62208462
955,HEADCM,0.62179047
956,HEADCM,0.6215173
957,HEADCM,0.62124389
958,HEADCM,0.62097019
959,HEADCM,0.62069625
960,HEADCM,0.62039316
961,HEADCM,0.62011737
962,HEADCM,0.61984128
963,HEADCM,0.61956501
964,HEADCM,0.61928838
965,HEADCM,0.61897635
966,HEADCM,0.61869788
967,HEADCM,0.61841923
968,HEADCM,0.61814022
969,HEADCM,0.61786097
970,HEADCM,0.61753994
971,HEADCM,0.61725885
972,HEADCM,0.61697745
973,HEADCM,0.61669582
1096,HEADCM,0.57948887
1097,HEADCM,0.57916629
1098,HEADCM,0.57884336
1099,HEADCM,0.57852006
1100,HEADCM,0.57819647
1101,HEADCM,0.57787246
1102,HEADCM,0.5773443
1103,HEADCM,0.5770185
1104,HEADCM,0.57669228
1105,HEADCM,0.57636577
1106,HEADCM,0.5760389
1107,HEADCM,0.57550246
1108,HEADCM,0.5751738
1109,HEADCM,0.57484472
1110,HEADCM,0.57451534
1111,HEADCM,0.57418561
1112,HEADCM,0.573641
1113,HEADCM,0.57330942
1114,HEADCM,0.57297754
1115,HEADCM,0.57264531
1116,HEADCM,0.57231271
1117,HEADCM,0.57197982
1118,HEADCM,0.57142574
1119,HEADCM,0.571091
1120,HEADCM,0.57075596
1121,HEADCM,0.57042056
1122,HEADCM,0.57008487
1123,HEADCM,0.56974882
1124,HEADCM,0.56941247
1125,HEADCM,0.5688476
1126,HEADCM,0.56850946
1127,HEADCM,0.56817102
1128,HEADCM,0.56783223
1129,HEADCM,0.5674932
1130,HEADCM,0.56715381
1131,HEADCM,0.55563742
1132,HEADCM,0.55524284
1133,HEADCM,0.55484807
1134,HEADCM,0.55445302
1135,HEADCM,0.55405772
1136,HEADCM,0.55366218
1137,HEADCM,0.55326641
1138,HEADCM,0.55287039
1139,HEADCM,0.55247408
1140,HEADCM,0.55207759
1141,HEADCM,0.55156058
1142,HEADCM,0.55116302
1143,HEADCM,0.55076516
1144,HEADCM,0.55036706
1145,HEADCM,0.54996878
1146,HEADCM,0.5495702
1147,HEADCM,0.54917145
1148,HEADCM,0.54877245
1149,HEADCM,0.54837322
1150,HEADCM,0.54797375
1151,HEADCM,0.5475741
1152,HEADCM,0.54704934
1153,HEADCM,0.54664862
1154,HEADCM,0.54624766
1155,HEADCM,0.54584652
1156,HEADCM,0.54544514
1157,HEADCM,0.54504353
1158,HEADCM,0.54464173
1159,HEADCM,0.54423976
1160,HEADCM,0.54383755
1161,HEADCM,0.5434351
1162,HEADCM,0.54303247
1163,HEADCM,0.54262966
1164,HEADCM,0.54222661
1165,HEADCM,0.54169279
1166,HEADCM,0.54128879
1167,HEADCM,0.54088461
1168,HEADCM,0.5404802
1169,HEADCM,0.5400756
1170,HEADCM,0.53967077
1171,HEADCM,0.53926581
1172,HEADCM,0.53886062
1173,HEADCM,0.53845525
1174,HEADCM,0.5380497
1175,HEADCM,0.53764391
1176,HEADCM,0.537238
1177,HEADCM,0.53683186
1178,HEADCM,0.53642559
1179,HEADCM,0.53601909
1180,HEADCM,0.5356124
1181,HEADCM,0.53506768
1182,HEADCM,0.53466004
1183,HEADCM,0.53425223
1184,HEADCM,0.53384429
1185,HEADCM,0.53343612
1186,HEADCM,0.53302777
1187,HEADCM,0.5326193
1461,HEADCM,
1462,HEADCM,
1463,HEADCM,
1464,HEADCM,
1465,HEADCM,
1466,HEADCM,
1467,HEADCM,
1468,HEADCM,
1469,HEADCM,
1470,HEADCM,
1471,HEADCM,
1472,HEADCM,
1473,HEADCM,
1474,HEADCM,
1475,HEADCM,
1476,HEADCM,
1477,HEADCM,
1478,HEADCM,
1479,HEADCM,
1480,HEADCM,
1481,HEADCM,
1482,HEADCM,
1483,HEADCM,
1484,HEADCM,
1485,HEADCM,
1486,HEADCM,
1487,HEADCM,
1488,HEADCM,
1489,HEADCM,
1490,HEADCM,
1491,HEADCM,
1492,HEADCM,
1493,HEADCM,
1494,HEADCM,
1495,HEADCM,
1496,HEADCM,
1497,HEADCM,
1498,HEADCM,
1499,HEADCM,
1500,HEADCM,
1501,HEADCM,
1502,HEADCM,
1503,HEADCM,
1504,HEADCM,
1505,HEADCM,
1506,HEADCM,
1507,HEADCM,
1508,HEADCM,
1509,HEADCM,
1510,HEADCM,
1511,HEADCM,
1512,HEADCM,
1513,HEADCM,
1514,HEADCM,
1515,HEADCM,
1516,HEADCM,
1517,HEADCM,
1518,HEADCM,
1519,HEADCM,
1520,HEADCM,
1521,HEADCM,
1522,HEADCM,
1523,HEADCM,
1524,HEADCM,
1525,HEADCM,
1526,HEADCM,
1527,HEADCM,
1528,HEADCM,
1529,HEADCM,
1530,HEADCM,
1531,HEADCM,
1532,HEADCM,
1533,HEADCM,
1534,HEADCM,
1535,HEADCM,
1536,HEADCM,
1537,HEADCM,
1538,HEADCM,
1539,HEADCM,
1540,HEADCM,
1541,HEADCM,
1542,HEADCM,
1543,HEADCM,
1544,HEADCM,
1545,HEADCM,
1546,HEADCM,
1547,HEADCM,
1548,HEADCM,
1549,HEADCM,
1550,HEADCM,
1551,HEADCM,
1552,HEADCM,
1827,HEADCM,
1828,HEADCM,
1829,HEADCM,
1830,HEADCM,
1831,HEADCM,
1832,HEADCM,
1833,HEADCM,
1834,HEADCM,
1835,HEADCM,
1836,HEADCM,
1837,HEADCM,
1838,HEADCM,
1839,HEADCM,
1840,HEADCM,
1841,HEADCM,
1842,HEADCM,
1843,HEADCM,
1844,HEADCM,
1845,HEADCM,
1846,HEADCM,
1847,HEADCM,
1848,HEADCM,
1849,HEADCM,
1850,HEADCM,
1851,HEADCM,
1852,HEADCM,
1853,HEADCM,
1854,HEADCM,
1855,HEADCM,
1856,HEADCM,
1857,HEADCM,
1858,HEADCM,
1859,HEADCM,
1860,HEADCM,
1861,HEADCM,
1862,HEADCM,
1863,HEADCM,
1864,HEADCM,
1865,HEADCM,
1866,HEADCM,
1867,HEADCM,
1868,HEADCM,
1869,HEADCM,
1870,HEADCM,
1871,HEADCM,
1872,HEADCM,
1873,HEADCM,
1874,HEADCM,
1875,HEADCM,
1876,HEADCM,
1877,HEADCM,
1878,HEADCM,
1879,HEADCM,
1880,HEADCM,
1881,HEADCM,
