agedays,sex,cdc_wt_l,cdc_wt_m,cdc_wt_s,cdc_ht_l,cdc_ht_m,cdc_ht_s,cdc_hc_l,cdc_hc_m,cdc_hc_s,cdc_wt_csd_pos,cdc_wt_csd_neg,cdc_ht_csd_pos,cdc_ht_csd_neg,cdc_hc_csd_pos,cdc_hc_csd_neg,cdc_bmi_l,cdc_bmi_m,cdc_bmi_s,cdc_bmi_csd_pos,cdc_bmi_csd_neg
16,0,1.5342127,4.0267339,.14573097,.47817385,52.818924,.048513174,4.3026543,37.256618,.047044579,.54845262,.64517546,2.6273727,2.4976368,1.5313683,2.1164417,,,,,
16,1,1.3506763,3.8175209,.13788655,-.78634489,51.793831,.046685997,-1.4460958,36.095074,.042829998,.50423658,.55693412,2.6372242,2.2313595,1.7282448,1.4001446,,,,,
17,0,1.517243,4.0568867,.14535892,.43660349,52.974236,.048289414,4.2917743,37.336246,.046774808,.55235791,.6460278,2.6279716,2.4887848,1.5274868,2.1044445,,,,,
17,1,1.3414402,3.8430469,.13764648,-.75731093,51.933296,.046520796,-1.4533588,36.171589,.042616896,.50731361,.55874348,2.6301594,2.2327805,1.7228947,1.3964062,,,,,
18,0,1.5003504,4.0869379,.14499162,.3958647,53.12727,.048072271,4.2805738,37.414738,.046510413,.55625343,.64688694,2.6286144,2.4802742,1.5236797,2.0926609,,,,,
18,1,1.3322785,3.8685012,.137409,-.72859412,52.070938,.046360504,-1.4604084,36.247036,.042408206,.51037979,.56054652,2.623354,2.2342587,1.717638,1.3927422,,,,,
19,0,1.483536,4.1168885,.14462906,.35594445,53.278072,.047861598,4.2690597,37.492115,.046251308,.56013966,.647753,2.6292992,2.4720936,1.519949,2.081089,,,,,
19,1,1.3231907,3.8938839,.13717408,-.70019215,52.206783,.046205007,-1.4672474,36.321434,.042203844,.51343524,.56234336,2.6168022,2.2357903,1.7124691,1.3891506,,,,,
20,0,1.4668014,4.1467385,.14427114,.31682974,53.426685,.047657248,4.2572379,37.568398,.045997385,.56401658,.64862561,2.6300335,2.4642334,1.5162926,2.0697269,,,,,
20,1,1.3141757,3.9191954,.13694167,-.67210263,52.34087,.046054199,-1.473878,36.394794,.042003728,.51648033,.564134,2.6105003,2.237381,1.7073917,1.3856335,,,,,
21,0,1.4501477,4.1764889,.1439178,.27850762,53.573154,.047459077,4.2451158,37.6436,.04574855,.56788421,.64950478,2.6308174,2.4566879,1.5127125,2.058567,,,,,
21,1,1.3052332,3.9444356,.13671175,-.64432311,52.473232,.045907967,-1.4803032,36.467136,.041807782,.51951456,.56591868,2.6044388,2.239027,1.702404,1.3821869,,,,,
22,0,1.4335763,4.2061391,.14356898,.24096501,53.717522,.047266938,4.2326999,37.717739,.045504704,.5717423,.65039015,2.6316547,2.4494457,1.5092049,2.0476112,,,,,
22,1,1.2963622,3.9696045,.13648428,-.61685133,52.603905,.045766208,-1.4865254,36.538483,.041615918,.52253842,.56769717,2.5986137,2.2407303,1.697504,1.3788128,,,,,
23,0,1.4170886,4.2356906,.14322463,.20418894,53.859829,.047080684,4.2199965,37.790836,.045265753,.57559156,.65128195,2.6325455,2.4424973,1.5057697,2.0368538,,,,,
23,1,1.287562,3.9947028,.13625923,-.58968478,52.732918,.045628808,-1.4925473,36.608841,.041428067,.52555203,.56946981,2.5930195,2.2424908,1.6926918,1.3755074,,,,,
24,0,1.4006857,4.2651434,.14288467,.16816641,54.000122,.046900172,4.2070117,37.862911,.045031596,.5794313,.65217984,2.6334953,2.4358368,1.502409,2.0262928,,,,,
24,1,1.2788318,4.0197306,.13603656,-.56282121,52.860306,.045495659,-1.4983714,36.67823,.041244134,.52855515,.57123637,2.5876484,2.2443085,1.6879673,1.3722725,,,,,
25,0,1.3843689,4.2944975,.14254905,.13288441,54.138447,.046725251,4.1937528,37.933979,.044802137,.58326197,.65308368,2.6345005,2.4294529,1.4991188,2.0159245,,,,,
25,1,1.270171,4.0446877,.13581623,-.53625822,52.986107,.045366652,-1.5040003,36.746674,.04106405,.53154778,.57299709,2.5824947,2.2461834,1.6833286,1.3691044,,,,,
26,0,1.3681396,4.3237538,.14221771,.098329939,54.274841,.046555784,4.1802258,38.004055,.044577274,.58708358,.65399361,2.6355667,2.4233398,1.4958992,2.0057449,,,,,
26,1,1.2615789,4.0695748,.13559823,-.50999337,53.110348,.04524168,-1.5094367,36.814182,.040887732,.53453064,.57475197,2.5775547,2.2481136,1.6787758,1.3660069,,,,,
